1672507269,53314549
94673432,74502476
-1732855483,536
-1868416421,81942208
-889653912,74502476
1065083214,51948810
-77112881,74502476
1262145299,709
150951677,1111074872
-1112666504,1095268822
1173499030,9686135
-1124112211,81942208
1152836471,9708793
-1140594996,674124
-1267822736,74502476
906242590,674124
1527615326,74502476
-226777339,67801450
1742036648,9686135
624320247,978702
1721374089,9708793
-2049985107,536
1429526679,9850951
-1032882993,1111074872
-971698487,978702
-1021639072,74502476
2145836891,610267844
1111852279,40175717
-1838934600,3261133
140400291,74077633
-727347341,639306245
-105798576,71602331
1094231560,24522321
-677936565,610267844
1598435852,124738437
-782570429,29583335
-898759133,24524095
-1085642655,74077633
-540346810,117902563
1576186038,1012306538
-1618074816,639190551
-1983095230,57154582
618877421,29583335
1600086285,53914616
-131265408,22411518
1942852298,124732789
1832811521,117910606
145205955,562929106
-1373261566,328929091
-288449395,1577196271
-563391489,117910606
1837130443,1658828163
-1136657453,1247506020
-2033316954,522257774
-1032753605,1577196271
-778734170,124732789
666826522,73650086
-1892559286,24522321
-1153140392,117902563
1176911042,22411518
517717072,1280851730
-1815081024,105742867
-1920929210,82687056
1142083493,82675519
665924858,3261133
2081420866,74281028
-1478859592,447114673
-479998679,20134710
-121532563,639248397
951219329,77006062
738430336,57154582
1607464653,1280873475
-2066818813,77006062
-1553835567,102002575
-1382727730,71602331
-895420740,562929106
-1162827637,53914616
1022941444,328929091
16238567,20134710
-1394637846,124738437
34200447,22414765
-1598454846,639190551
519587807,639132708
1243062618,117902563
550281004,124732789
-1420657821,1664893312
-714270510,639190551
585010750,562929106
-506904574,105742867
409417317,24524095
-756680793,82675519
-582731575,610267844
-1007528933,22410734
49402093,93359741
475273800,82687056
1661643405,22410734
-746967311,639306245
1205304825,1658828163
-141152533,639248397
-946308401,40175717
499967837,639132708
-1890797431,117894520
82411123,639074866
102031093,639074866
178742982,124738437
1197717177,624089741
-1273976003,22414765
1982766224,20134710
-1326827883,1247506020
-1795351274,15382985
-1729376488,73650086
-159672479,1664893312
